war,mission_id,mission_date,country,aircraft_type,planes,bombload,target_location,target_country,latitude,longitude,weapon_type
Korean War,987,6/28/50,Okinawa,B29,1.0,8.0,,,,,
Korean War,988,6/28/50,Okinawa,B29,1.0,8.0,,,,,
Korean War,989,6/28/50,Okinawa,B29,3.0,23.0,,,,,
Korean War,990,6/28/50,Okinawa,B29,3.0,23.0,,,,,
Korean War,991,6/29/50,Okinawa,B29,4.0,31.0,,,,,
Korean War,992,6/29/50,Okinawa,B29,4.0,31.0,,,,,
Korean War,993,6/29/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,994,6/29/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,995,6/29/50,Okinawa,B29,1.0,8.0,,,,,
Korean War,996,6/29/50,Okinawa,B29,1.0,8.0,,,,,
Korean War,997,6/30/50,Okinawa,B29,4.0,15.0,,,,,
Korean War,998,6/30/50,Okinawa,B29,6.0,26.0,,,,,
Korean War,999,6/30/50,Okinawa,B29,6.0,26.0,,,,,
Korean War,1000,6/30/50,Okinawa,B29,4.0,17.0,,,,,
Korean War,1001,6/30/50,Okinawa,B29,4.0,17.0,,,,,
Korean War,1002,7/1/50,Okinawa,B29,4.0,24.0,,,,,
Korean War,1003,7/1/50,Okinawa,B29,4.0,24.0,,,,,
Korean War,1004,7/1/50,Okinawa,B29,4.0,24.0,,,,,
Korean War,1005,7/2/50,Okinawa,B29,3.0,12.0,,,,,
Korean War,1006,7/2/50,Okinawa,B29,3.0,13.0,,,,,
Korean War,1007,7/2/50,Okinawa,B29,4.0,16.0,,,,,
Korean War,1008,7/5/50,Okinawa,B29,4.0,25.0,,,,,
Korean War,1009,7/5/50,Okinawa,B29,6.0,43.0,,,,,
Korean War,1010,7/5/50,Okinawa,B29,5.0,46.0,,,,,
Korean War,1011,7/6/50,Okinawa,B29,4.0,49.0,,,,,
Korean War,1012,7/6/50,Okinawa,B29,5.0,49.0,,,,,
Korean War,1013,7/6/50,Okinawa,B29,3.0,32.0,,,,,
Korean War,1014,7/7/50,Okinawa,B29,4.0,40.0,,,,,
Korean War,1015,7/7/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,1016,7/7/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,1017,7/8/50,Okinawa,B29,6.0,40.0,,,,,
Korean War,1018,7/8/50,Okinawa,B29,6.0,44.0,,,,,
Korean War,1019,7/8/50,Okinawa,B29,5.0,36.0,,,,,
Korean War,1020,7/9/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,1021,7/9/50,Okinawa,B29,3.0,24.0,,,,,
Korean War,1022,7/9/50,Okinawa,B29,4.0,28.0,,,,,
